Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1660000,0.6500708,9.338002e-05,155.255,None,None,None,23.116966,0.5915364
1670003,0.6266606,9.3340015e-05,155.90108,8914.894861976305,8914.894859616956,9844.0,44.51187,0.5862219
1680001,0.60576946,9.330001e-05,163.05856,9520.245901718736,9520.245964847505,9844.0,41.352345,0.6346573
1690001,0.54926556,9.3260016e-05,174.76688,None,None,None,44.09801,0.6451297
1700002,0.61312455,9.3220006e-05,181.03284,None,None,None,25.926758,0.6299673
1710001,0.61013585,9.318001e-05,172.70992,6847.055128335953,6847.0551186949015,8841.0,34.29663,0.48765862
1720004,0.6161736,9.3140006e-05,151.755,8614.563351124525,8614.563304558396,9844.0,56.46701,0.60260093
1730002,0.53686756,9.310001e-05,180.19275,None,None,None,33.15698,0.598158
1740002,0.6009178,9.306001e-05,173.95943,9532.123853087425,9532.12394978851,9844.0,47.027256,0.4000829
1750001,0.55072343,9.302001e-05,171.9114,None,None,None,22.262465,0.5607579
1760001,0.55889493,9.2980015e-05,171.2516,8844.523917913437,8844.52390596643,9654.0,45.012825,0.5676806
1770003,0.59341824,9.2940005e-05,172.7761,9264.45455223322,9264.454572550952,9742.0,38.667,0.50482863
1780003,0.57931554,9.290001e-05,188.26152,None,None,None,15.406308,0.5573491
1790003,0.5973513,9.2860006e-05,189.65831,None,None,None,10.652034,0.47422606
1800003,0.58724064,9.282e-05,170.09897,9128.893904566765,9128.89393080771,9630.0,55.88154,0.5383965
1810000,0.5769155,9.2780014e-05,171.05899,None,None,None,27.086493,0.5777079
1820002,0.5737589,9.274001e-05,169.8396,8017.426336765289,8017.42634584941,8305.25,126.659775,0.6549232
1830002,0.59491307,9.270001e-05,189.40431,None,None,None,22.811838,0.59211415
1840004,0.6162085,9.2660004e-05,185.83467,None,None,None,15.579493,0.44332772
1850004,0.62489,9.262e-05,181.16612,9152.437350213528,9152.437329664826,9614.0,28.817715,0.5325726
1860002,0.61043555,9.258001e-05,175.7072,None,None,None,43.637867,0.5768554
1870001,0.59765214,9.254001e-05,185.60841,9556.92844593525,9556.928477901965,9827.5,63.703907,0.62700003
1880004,0.6284062,9.2500006e-05,184.55696,9248.881040215492,9248.881034836173,9844.0,25.235437,0.47125793
1890002,0.623123,9.246001e-05,184.78206,8777.93081521988,8777.930778928101,9844.0,56.937035,0.43583935
1900004,0.6102591,9.2420014e-05,194.02798,None,None,None,15.995031,0.53250945
1910002,0.59866,9.238001e-05,176.02351,9186.996626853943,9186.99662195146,9518.5,58.96637,0.5328061
1920003,0.5951182,9.234001e-05,192.01361,9683.649845838547,9683.649900190532,9844.0,37.243202,0.514207
