Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1160001,0.5764119,9.538002e-05,127.24452,856.9338496923447,856.933849543333,641.5,128.40929,0.543808
1170000,0.55392295,9.5340016e-05,139.11316,862.9723462899526,862.9723430564006,619.4,124.21255,0.5278965
1180001,0.5356196,9.530001e-05,137.03094,704.0259771029155,704.0259782299399,616.5333333333333,154.76283,0.5321913
1190003,0.5101685,9.526001e-05,139.91498,687.1816999211031,687.1817008866107,599.1176470588235,101.13357,0.5084264
1200002,0.5362019,9.5220006e-05,134.44534,764.3647235982559,764.3647261884282,594.6470588235294,181.16708,0.6153975
1210000,0.54411113,9.518002e-05,124.8775,570.3185576137744,570.3185586101914,541.0,231.59651,0.5480909
1220002,0.56670576,9.5140014e-05,125.87285,669.9996897748539,669.9996820267822,594.0,242.44417,0.5731952
1230002,0.54987663,9.510001e-05,112.610245,718.5907982667287,718.59079387635,676.0,168.41763,0.5110057
1240003,0.5442664,9.506001e-05,118.37047,819.4889945462346,819.4889947376214,640.125,176.2963,0.55531865
1250001,0.5292225,9.502001e-05,126.30853,882.6400085389614,882.6400037929416,628.6875,172.41736,0.51145047
1260001,0.54049206,9.4980016e-05,126.52455,915.0232895101819,915.0232926096235,659.5714285714286,152.32518,0.4973514
1270002,0.49585655,9.494001e-05,122.54606,557.4038639794226,557.4038637895947,446.30434782608694,295.70294,0.57019866
1280001,0.50879276,9.490001e-05,133.10797,722.7272048393885,722.7272089028525,546.3888888888889,245.55594,0.5066899
1290002,0.5256298,9.486001e-05,133.05423,788.3070860473173,788.3070847887013,620.9285714285714,161.34874,0.4704104
1300001,0.5548732,9.482002e-05,125.74616,860.9629079818726,860.9629097779592,707.3333333333334,181.84683,0.52139866
1310002,0.55531657,9.4780014e-05,129.53572,991.0306319793066,991.0306243312856,732.9166666666666,138.63148,0.5267993
1320001,0.530896,9.474001e-05,136.9891,939.3517848338399,939.351784565619,718.5,136.5751,0.54419273
